TestSite,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
S6-1-2014,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S6-25-2014,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S6-34-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S7-13-2014,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S7-14-2008,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S7-14-2010,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S7-14-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S7-14-2014,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S8-2-2008,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S8-2-2010,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S8-2-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S8-2-2014,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S9-14-2008,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S9-3-2008,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S9-3-2010,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S9-3-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S9-3-2014,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S9-32-2008,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S9-32-2010,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S9-32-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S9-33-2008,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S9-33-2010,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S9-33-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S9-33-2014,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
S10-6-2008,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S11-49-2008,S11-49-2010,S11-49-2012,S11-49-2014,S6-25-2008,S6-25-2010,S6-25-2012,S6-34-2008,S6-34-2010,S2-16-2007,S2-16-2008,S2-16-2010,S2-16-2012,,,
